PATH TRANSVERSAL
Tool;Recall;Recall*Informedness;F-measure;Markedness;Precision;TP;TP;TP;TP;FN;FN;FN;FN;FP;FP;FP;FP;TN;TN;TN;TN;
('Snyk', 'Fortify');0;0;0;0;0;3;15;15;15;35;23;23;23;61;46;46;46;157;172;172;172;
('Snyk', 'Semgrep');0;0;0;0;0;15;15;15;15;23;23;23;23;46;46;46;46;172;172;172;172;
('Snyk', 'Synopsis');0;0;0;0;0;15;15;15;15;23;23;23;23;46;46;46;46;172;172;172;172;
('Snyk', 'Horusec');0;0;0;0;0;15;15;15;15;23;23;23;23;46;46;46;46;172;172;172;172;
('Snyk', 'Kiuwan');0;0;0;0;0;15;15;15;15;23;23;23;23;46;46;46;46;172;172;172;172;
('Snyk', 'SpotBugs');0;0;0;0;0;7;7;15;15;31;31;23;23;0;0;46;46;218;218;172;172;
('Fortify', 'Semgrep');0;0;0;0;0;3;3;3;17;35;35;35;21;61;61;61;102;157;157;157;116;
('Fortify', 'Synopsis');0;0;0;0;0;3;3;3;13;35;35;35;25;61;61;61;1;157;157;157;217;
('Fortify', 'Horusec');0;0;0;0;0;3;3;3;3;35;35;35;35;61;61;61;61;157;157;157;157;
('Fortify', 'Kiuwan');0;0;0;0;0;3;3;8;8;35;35;30;30;61;61;13;13;157;157;205;205;
('Fortify', 'SpotBugs');0;0;0;0;0;7;7;3;7;31;31;35;31;0;0;61;0;218;218;157;218;
('Semgrep', 'Synopsis');0;0;0;0;0;17;17;17;13;21;21;21;25;102;102;102;1;116;116;116;217;
('Semgrep', 'Horusec');0;0;0;0;0;17;17;17;17;21;21;21;21;102;102;102;102;116;116;116;116;
('Semgrep', 'Kiuwan');0;0;0;0;0;8;8;8;8;30;30;30;30;13;13;13;13;205;205;205;205;
('Semgrep', 'SpotBugs');0;0;0;0;0;7;7;7;17;31;31;31;21;0;0;0;102;218;218;218;116;
('Synopsis', 'Horusec');0;0;0;0;0;13;13;13;13;25;25;25;25;1;1;1;1;217;217;217;217;
('Synopsis', 'Kiuwan');0;0;0;0;0;8;8;8;8;30;30;30;30;13;13;13;13;205;205;205;205;
('Synopsis', 'SpotBugs');0;0;0;0;0;7;7;7;13;31;31;31;25;0;0;0;1;218;218;218;217;
('Horusec', 'Kiuwan');0;0;0;0;0;8;8;8;8;30;30;30;30;13;13;13;13;205;205;205;205;
('Horusec', 'SpotBugs');0;0;0;0;0;7;7;7;7;31;31;31;31;0;0;0;0;218;218;218;218;
('Kiuwan', 'SpotBugs');0;0;0;0;0;7;7;8;8;31;31;30;30;0;0;13;13;218;218;205;205;


XSS
Tool;Recall;Recall*Informedness;F-measure;Markedness;Precision;TP;TP;TP;TP;FN;FN;FN;FN;FP;FP;FP;FP;TN;TN;TN;TN;
('Snyk', 'Fortify');0;0;0;0;0;83;83;83;83;88;88;88;88;57;57;57;57;624;624;624;624;
('Snyk', 'Semgrep');0;0;0;0;0;83;83;83;83;88;88;88;88;57;57;57;57;624;624;624;624;
('Snyk', 'Synopsis');0;0;0;0;0;83;83;83;83;88;88;88;88;57;57;57;57;624;624;624;624;
